Date,Incident Narrative,Ground Truth
9/2/24,"On Monday, September 2nd, in Mellit, North Darfur, the RSF reportedly arrested more than 30 people, including traders and members of an emergency committee whom they accused of collaborating with the army and providing coordinates for the air strikes.",Unlawful detention
9/2/24,""" On Monday, September 2nd, after several hours of fighting in Khartoum Bahri, the SAF declared that they repelled an RSF attack on the Khattab and Kadaro bases, which are located in that area. While the RSF claimed to have taken control of the Khattab area after inflicting heavy losses on the army, the army maintained that it repelled the attacks, killed dozens of soldiers, destroyed military vehicles and seized others in good condition.""","Military operations (battle,  shelling)"
9/2/24,"On September 2, 2024, a video posted by the Rapid Support Forces (RSF) shows RSF members beating civilian-dressed prisoners with sticks and whips near the Hattab Reconnaissance Camp in Khartoum State. The RSF claims the prisoners are militants, but no evidence confirms this. A separate video shows rockets being fired from a Katyusha launcher toward the Hattab camp.","Unlawful detention,  Torture or indications of torture"
9/3/24,"""Early in the morning of Tuesday, September 3, Sudanese army warplanes conducted airstrikes on RSF positions in the eastern neighborhoods of El Fasher, North Darfur. According to the El Fasher Resistance Committees Coordination, the RSF responded with artillery shelling and at least two people were killed and dozens injured. As a result of indiscriminate shelling and a blockade, the El Fasher population experience severe shortages of drinking water and food and flee the city. ""","Military operations (battle,  shelling),  Indiscriminate use of weapons"
9/4/24,A drone targeting the headquarters of the Security and Intelligence Service in Gedaref State was responded to using ground anti-aircraft guns. There is no news yet about any casualties among civilians., Willful killing of civilians
9/4/24,"On Wednesday, September 4th, after clashing with the army and the withdrawal of the latter, the RSF reportedly shot dead seven civilians in the Salama North area of Khartoum Bahri, according to some residents and activists.",Willful killing of civilians
9/5/24,"On September 5, the Sudan Liberation Movement-Transitional Council accused the Sudanese army of bombing the Korma area, which is located in the South west of El Fasher and hosts the headquarters of the armed movement.","Military operations (battle,  shelling)"
9/5/24,"On Thursday, September 5, early in the morning, the Sudanese air force conducted airstrikes on RSF positions in Khartoum, especially in   Riyadh, Al-Manshiya, Arkoit and Burri. Residents reported sounds of anti-aircraft missiles in these areas and strong explosions throughout the city.","Military operations (battle,  shelling),  Indiscriminate use of weapons"
9/5/24,"On Thursday, September 5, the presence of the Rapid Support Forces (RSF) was confirmed in some localities of South Sudan, especially Radom, Kafia Kinji, Sungu, and Hofra Al Nahas which are all part of Raja county. This incursion of the RSF into South Sudanese territory has raised concerns among local residents and authorities about potential military clashes. The RSF reportedly have started to exploit mineral resources in some areas.","Movement of military,  paramilitary,  or other troops and equipment"
9/7/24,"Early in the morning of Saturday, September 7, eyewitnesses reported violent clashes between the SAF and the RSF in the Armored Corps area, south of Khartoum, where repeated explosions were heard in the neighborhoods of Al-Shajara, Jabrah, Al-Sahafa, Al-Azhari, Al-Muqrin, and Tuti, in addition to the Sports City.","Military operations (battle,  shelling),  Indiscriminate use of weapons"
9/7/24,"""On September 7, the Sudanese Army warplanes bombed Rapid Support Forces positions in the North and East of El Fasher, North Darfur, causing casualties and equipment losses. ""","Military operations (battle,  shelling)"
9/7/24,"On September 7, Sudanese  Special Forces reportedly confirmed their progress along the Managil axis in Al-Jazeera State, where they carried out raids with missiles on several RSF positions.","Military operations (battle,  shelling),  Movement of military,  paramilitary,  or other troops and equipment"
9/7/24,""" On Saturday, September 7th, fighting intensified between the Sudanese Army and RSF around the Hattab military base in Bahri, Khartoum North, forcing hundreds of families to flee. ""","Military operations (battle,  shelling)"
9/8/24,"On Sunday, September 8th, a heavy artillery shelling reportedly emanating from RSF in response to the Sudanese Army’s airstrikes, killed at least 21 people and injured more than 70 in the main market of Sennar city, the capital city of Sennar, which is under RSF control. According to witnesses and military sources, there might be more than 150 dead because the shelling hit the vegetable and fish markets, a public transport station and residential areas.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of civilians"
9/8/24,"""On Sunday, September 8, the RSF launched a large drone attack on El Fasher, North Darfur, but the attack was repelled by the Sudanese Army and allied forces who destroyed 30 drones. ""","Military operations (battle,  shelling)"
9/9/24,"On Monday, September 9, a day after the shelling at a market in Sennar city, Sennar State, paramilitary gunfire was reported in the city. Activists and witnesses attributed the attack to the RSF, though further casualties from the renewed gunfire were not immediately known.","Indiscriminate use of weapons,  Movement of military,  paramilitary,  or other troops and equipment"
9/9/24,""" On Monday, September 9th, in the evening, Hamar tribal fighters allied with the SAF clashed with the RSF in Al-Khowi, East of An-Nahud in West Kordofan.""","Military operations (battle,  shelling)"
9/10/24,"""On Tuesday, September 10th, Sudan News Agency reported that the Atbara General Criminal Court sentenced to death by hanging an alleged collaborator of the RSF. """,Extrajudicial killing
9/11/24,"""On Wednesday, September 11, there was fighting between the RSF and SAF in Omdurman and Khartoum North. The RSF accused the SAF of bombing with drones that day in the morning the El Aylafoun oil pumping station, east of Khartoum, causing extensive damage and injuring some workers. This station, which was under RSF control reportedly leads South Sudanese and Sudanese oil through pipelines to Red Sea ports. ""","Indiscriminate use of weapons,  Military operations (battle,  shelling)"
9/11/24,"On Monday, September 11, in the evening, a SAF airstrike killed 5 civilians, including three women, and injured 5 other persons in Ed Daien in East Darfur State.","Indiscriminate use of weapons,  Willful killing of civilians"
9/11/24,""" On September 11, according to local sources who spoke to Radio Dabanga, three women were killed and four other persons injured by « an RSF anti-aircraft missile that hit the Ahmed Zeinelabdin Schools shelter in the Kafout neighbourhood east of the El Fasher Grand Market.» ""","Indiscriminate use of weapons,  Damage or destruction of civilian critical infrastructure,  Willful killing of civilians"
9/11/24,"On September 11, 2024, the Rapid Support (RSF) arrested dozens of traders outside Zamzam camp in southern El Fasher, North Darfur, because they were suspected of smuggling supplies, including food, medecine, and fuel, into the camp in order to relieve the dire humanitarian situation.",Unlawful detention
9/11/24,"On September 11, the Bureau of African Affairs announced that a local guard force member, Tarig Hassan Ahmed, who worked at the U.S. Embassy in Sudan died while in RSF custody. The Bureau was « deeply saddened and disturbed » by the killing of this man who was described as « dedicated"" and ""respected"" colleague and friend to many in embassy community »",Extrajudicial killing
